2024-11-27 15:32:10 - FewShotSeg - INFO - Epoch: 0
2024-11-27 15:32:11 - FewShotSeg - INFO - Epoch: 0, Iteration: 0, Training Loss: 0.6696, Mean IoU: 0.3226, Mean Accuracy: 0.4552, per Category IOU: [0.64272072 0.00245055]
2024-11-27 15:32:11 - FewShotSeg - INFO - Epoch: 0, Iteration: 1, Training Loss: 0.5490, Mean IoU: 0.4829, Mean Accuracy: 0.5387, per Category IOU: [0.95669522 0.00906758]
2024-11-27 15:32:11 - FewShotSeg - INFO - Epoch: 0, Iteration: 2, Training Loss: 0.4587, Mean IoU: 0.4976, Mean Accuracy: 0.4997, per Category IOU: [0.99526915 0.        ]
2024-11-27 15:32:12 - FewShotSeg - INFO - Epoch: 0, Iteration: 3, Training Loss: 0.3601, Mean IoU: 0.4981, Mean Accuracy: 0.4997, per Category IOU: [0.99610371 0.        ]
2024-11-27 15:32:12 - FewShotSeg - INFO - Epoch: 0, Iteration: 4, Training Loss: 0.3054, Mean IoU: 0.4987, Mean Accuracy: 0.4999, per Category IOU: [0.99742905 0.        ]
2024-11-27 15:32:12 - FewShotSeg - INFO - Epoch: 0, Iteration: 5, Training Loss: 0.2436, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99696319 0.        ]
2024-11-27 15:32:13 - FewShotSeg - INFO - Epoch: 0, Iteration: 6, Training Loss: 0.2520, Mean IoU: 0.4980, Mean Accuracy: 0.5000, per Category IOU: [0.99601901 0.        ]
2024-11-27 15:32:13 - FewShotSeg - INFO - Epoch: 0, Iteration: 7, Training Loss: 0.2529, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99659947 0.        ]
2024-11-27 15:32:13 - FewShotSeg - INFO - Epoch: 0, Iteration: 8, Training Loss: 0.2234, Mean IoU: 0.4982, Mean Accuracy: 0.5000, per Category IOU: [0.99631547 0.        ]
2024-11-27 15:32:13 - FewShotSeg - INFO - Epoch: 0, Iteration: 9, Training Loss: 0.2080, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99668915 0.        ]
2024-11-27 15:32:14 - FewShotSeg - INFO - Epoch: 0, Iteration: 10, Training Loss: 0.1564, Mean IoU: 0.4984, Mean Accuracy: 0.5000, per Category IOU: [0.99682368 0.        ]
2024-11-27 15:32:14 - FewShotSeg - INFO - Epoch: 0, Iteration: 11, Training Loss: 0.1776, Mean IoU: 0.4987, Mean Accuracy: 0.5000, per Category IOU: [0.99740414 0.        ]
2024-11-27 15:32:14 - FewShotSeg - INFO - Epoch: 0, Iteration: 12, Training Loss: 0.1433, Mean IoU: 0.4987, Mean Accuracy: 0.5000, per Category IOU: [0.99740912 0.        ]
2024-11-27 15:32:15 - FewShotSeg - INFO - Epoch: 0, Iteration: 13, Training Loss: 0.1778, Mean IoU: 0.4979, Mean Accuracy: 0.5000, per Category IOU: [0.99574498 0.        ]
2024-11-27 15:32:15 - FewShotSeg - INFO - Epoch: 0, Iteration: 14, Training Loss: 0.1407, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99669414 0.        ]
2024-11-27 15:32:15 - FewShotSeg - INFO - Epoch: 0, Iteration: 15, Training Loss: 0.1339, Mean IoU: 0.4981, Mean Accuracy: 0.5000, per Category IOU: [0.99629056 0.        ]
2024-11-27 15:32:15 - FewShotSeg - INFO - Epoch: 0, Iteration: 16, Training Loss: 0.1598, Mean IoU: 0.4976, Mean Accuracy: 0.5000, per Category IOU: [0.99528908 0.        ]
2024-11-27 15:32:16 - FewShotSeg - INFO - Epoch: 0, Iteration: 17, Training Loss: 0.1226, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99655463 0.        ]
2024-11-27 15:32:16 - FewShotSeg - INFO - Epoch: 0, Iteration: 18, Training Loss: 0.0851, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99697315 0.        ]
2024-11-27 15:32:16 - FewShotSeg - INFO - Epoch: 0, Iteration: 19, Training Loss: 0.1158, Mean IoU: 0.4982, Mean Accuracy: 0.5000, per Category IOU: [0.99636779 0.        ]
2024-11-27 15:32:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 20, Training Loss: 0.1225, Mean IoU: 0.4983, Mean Accuracy: 0.4999, per Category IOU: [0.9966468 0.       ]
2024-11-27 15:32:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 21, Training Loss: 0.0494, Mean IoU: 0.4992, Mean Accuracy: 0.5000, per Category IOU: [0.99832091 0.        ]
2024-11-27 15:32:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 22, Training Loss: 0.0822, Mean IoU: 0.4988, Mean Accuracy: 0.5000, per Category IOU: [0.99766323 0.        ]
2024-11-27 15:32:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 23, Training Loss: 0.0658, Mean IoU: 0.4991, Mean Accuracy: 0.5000, per Category IOU: [0.99817393 0.        ]
2024-11-27 15:32:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 24, Training Loss: 0.0892, Mean IoU: 0.4980, Mean Accuracy: 0.5000, per Category IOU: [0.99593431 0.        ]
2024-11-27 15:32:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 25, Training Loss: 0.0874, Mean IoU: 0.4979, Mean Accuracy: 0.5000, per Category IOU: [0.99582719 0.        ]
2024-11-27 15:32:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 26, Training Loss: 0.0674, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99694077 0.        ]
2024-11-27 15:32:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 27, Training Loss: 0.0840, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.997018 0.      ]
2024-11-27 15:32:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 28, Training Loss: 0.0666, Mean IoU: 0.4986, Mean Accuracy: 0.5000, per Category IOU: [0.99729203 0.        ]
2024-11-27 15:32:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 29, Training Loss: 0.1097, Mean IoU: 0.5297, Mean Accuracy: 0.5312, per Category IOU: [0.99704482 0.06245059]
2024-11-27 15:32:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 30, Training Loss: 0.0576, Mean IoU: 0.6628, Mean Accuracy: 0.6653, per Category IOU: [0.99763809 0.32789212]
2024-11-27 15:32:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 31, Training Loss: 0.0506, Mean IoU: 0.6757, Mean Accuracy: 0.6766, per Category IOU: [0.99811469 0.35329341]
2024-11-27 15:32:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 32, Training Loss: 0.0760, Mean IoU: 0.6107, Mean Accuracy: 0.6117, per Category IOU: [0.99809316 0.22335025]
2024-11-27 15:32:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 33, Training Loss: 0.0486, Mean IoU: 0.7238, Mean Accuracy: 0.7248, per Category IOU: [0.99796877 0.44962813]
2024-11-27 15:32:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 34, Training Loss: 0.0458, Mean IoU: 0.8223, Mean Accuracy: 0.8228, per Category IOU: [0.99889166 0.64565044]
2024-11-27 15:32:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 35, Training Loss: 0.0341, Mean IoU: 0.7727, Mean Accuracy: 0.7733, per Category IOU: [0.998775   0.54662973]
2024-11-27 15:32:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 36, Training Loss: 0.0560, Mean IoU: 0.6984, Mean Accuracy: 0.7003, per Category IOU: [0.99805183 0.39876828]
2024-11-27 15:32:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 37, Training Loss: 0.0385, Mean IoU: 0.8450, Mean Accuracy: 0.8461, per Category IOU: [0.99870079 0.69139466]
2024-11-27 15:32:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 38, Training Loss: 0.0359, Mean IoU: 0.8777, Mean Accuracy: 0.8782, per Category IOU: [0.99906808 0.75636839]
2024-11-27 15:32:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 39, Training Loss: 0.0500, Mean IoU: 0.8145, Mean Accuracy: 0.8154, per Category IOU: [0.9981632  0.63083877]
2024-11-27 15:32:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 40, Training Loss: 0.0100, Mean IoU: 1.0000, Mean Accuracy: 1.0000, per Category IOU: [1.e+00 1.e-06]
2024-11-27 15:32:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 41, Training Loss: 0.0315, Mean IoU: 0.8840, Mean Accuracy: 0.8847, per Category IOU: [0.9991556  0.76880985]
2024-11-27 15:32:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 42, Training Loss: 0.0372, Mean IoU: 0.8379, Mean Accuracy: 0.8396, per Category IOU: [0.99881873 0.67691257]
2024-11-27 15:32:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 43, Training Loss: 0.0191, Mean IoU: 0.9286, Mean Accuracy: 0.9308, per Category IOU: [0.99953283 0.85768645]
2024-11-27 15:32:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 44, Training Loss: 0.0358, Mean IoU: 0.8899, Mean Accuracy: 0.8946, per Category IOU: [0.99926316 0.78050595]
2024-11-27 15:32:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 45, Training Loss: 0.0203, Mean IoU: 0.9526, Mean Accuracy: 0.9639, per Category IOU: [0.99969769 0.90546875]
2024-11-27 15:32:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 46, Training Loss: 0.0356, Mean IoU: 0.8781, Mean Accuracy: 0.8804, per Category IOU: [0.99893772 0.75728155]
2024-11-27 15:32:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 47, Training Loss: 0.0296, Mean IoU: 0.8684, Mean Accuracy: 0.8733, per Category IOU: [0.9991885  0.73769169]
2024-11-27 15:32:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 48, Training Loss: 0.0271, Mean IoU: 0.9410, Mean Accuracy: 0.9489, per Category IOU: [0.99953752 0.88239034]
2024-11-27 15:32:25 - FewShotSeg - INFO - Epoch: 0, Iteration: 49, Training Loss: 0.0196, Mean IoU: 0.9221, Mean Accuracy: 0.9371, per Category IOU: [0.99939012 0.84478372]
2024-11-27 15:32:25 - FewShotSeg - INFO - Epoch: 0, Iteration: 50, Training Loss: 0.0142, Mean IoU: 0.9458, Mean Accuracy: 0.9686, per Category IOU: [0.99955493 0.89199029]
2024-11-27 15:32:25 - FewShotSeg - INFO - Epoch: 0, Iteration: 51, Training Loss: 0.0285, Mean IoU: 0.8785, Mean Accuracy: 0.9098, per Category IOU: [0.99918579 0.75780089]
2024-11-27 15:32:26 - FewShotSeg - INFO - Epoch: 0, Iteration: 52, Training Loss: 0.0227, Mean IoU: 0.8782, Mean Accuracy: 0.8860, per Category IOU: [0.9990831  0.75727513]
2024-11-27 15:32:26 - FewShotSeg - INFO - Epoch: 0, Iteration: 53, Training Loss: 0.0162, Mean IoU: 0.9386, Mean Accuracy: 0.9610, per Category IOU: [0.99944725 0.87783306]
2024-11-27 15:32:26 - FewShotSeg - INFO - Epoch: 0, Iteration: 54, Training Loss: 0.0335, Mean IoU: 0.8831, Mean Accuracy: 0.9047, per Category IOU: [0.99922325 0.7670412 ]
2024-11-27 15:32:26 - FewShotSeg - INFO - Epoch: 0, Iteration: 55, Training Loss: 0.0105, Mean IoU: 0.9604, Mean Accuracy: 0.9716, per Category IOU: [0.99976518 0.92107473]
