2024-11-27 14:41:08 - FewShotSeg - INFO - Epoch: 0, Iteration: 31, Training Loss: 0.1015, Mean IoU: 0.5982, Mean Accuracy: 0.6004, per Category IOU: [0.99565304 0.20082531]
2024-11-27 14:41:08 - FewShotSeg - INFO - Epoch: 0, Iteration: 32, Training Loss: 0.0461, Mean IoU: 0.7341, Mean Accuracy: 0.7349, per Category IOU: [0.99855823 0.46972477]
2024-11-27 14:41:08 - FewShotSeg - INFO - Epoch: 0, Iteration: 33, Training Loss: 0.0578, Mean IoU: 0.6011, Mean Accuracy: 0.6025, per Category IOU: [0.99727268 0.20494186]
2024-11-27 14:41:09 - FewShotSeg - INFO - Epoch: 0, Iteration: 34, Training Loss: 0.0794, Mean IoU: 0.5409, Mean Accuracy: 0.5427, per Category IOU: [0.99640145 0.08549715]
2024-11-27 14:41:09 - FewShotSeg - INFO - Epoch: 0, Iteration: 35, Training Loss: 0.0349, Mean IoU: 0.8756, Mean Accuracy: 0.8760, per Category IOU: [0.99918085 0.75207861]
2024-11-27 14:41:09 - FewShotSeg - INFO - Epoch: 0, Iteration: 36, Training Loss: 0.0347, Mean IoU: 0.9114, Mean Accuracy: 0.9117, per Category IOU: [0.99934781 0.82341001]
2024-11-27 14:41:09 - FewShotSeg - INFO - Epoch: 0, Iteration: 37, Training Loss: 0.0506, Mean IoU: 0.8559, Mean Accuracy: 0.8566, per Category IOU: [0.99856493 0.71328671]
2024-11-27 14:41:10 - FewShotSeg - INFO - Epoch: 0, Iteration: 38, Training Loss: 0.0588, Mean IoU: 0.7857, Mean Accuracy: 0.7870, per Category IOU: [0.99882978 0.57247037]
2024-11-27 14:41:10 - FewShotSeg - INFO - Epoch: 0, Iteration: 39, Training Loss: 0.0303, Mean IoU: 0.8901, Mean Accuracy: 0.8911, per Category IOU: [0.99941834 0.78080903]
2024-11-27 14:43:10 - FewShotSeg - INFO - Epoch : 0, Validation Results - Loss: 0.0393, Mean IoU: 0.9177, Mean Accuracy: 0.9202, per Category IOU: [0.9989436       nan]
2024-11-27 14:43:11 - FewShotSeg - INFO - Model saved!
2024-11-27 14:43:11 - FewShotSeg - INFO - Epoch: 1
2024-11-27 14:43:11 - FewShotSeg - INFO - Epoch: 1, Iteration: 0, Training Loss: 0.0630, Mean IoU: 0.8150, Mean Accuracy: 0.8159, per Category IOU: [0.99803278 0.63189897]
2024-11-27 14:43:11 - FewShotSeg - INFO - Epoch: 1, Iteration: 1, Training Loss: 0.0406, Mean IoU: 0.8555, Mean Accuracy: 0.8584, per Category IOU: [0.99916622 0.71182053]
2024-11-27 14:43:11 - FewShotSeg - INFO - Epoch: 1, Iteration: 2, Training Loss: 0.0288, Mean IoU: 0.9251, Mean Accuracy: 0.9341, per Category IOU: [0.99925194 0.85094716]
2024-11-27 14:43:12 - FewShotSeg - INFO - Epoch: 1, Iteration: 3, Training Loss: 0.0263, Mean IoU: 0.9228, Mean Accuracy: 0.9272, per Category IOU: [0.9992847  0.84623656]
2024-11-27 14:43:12 - FewShotSeg - INFO - Epoch: 1, Iteration: 4, Training Loss: 0.0372, Mean IoU: 0.8886, Mean Accuracy: 0.8906, per Category IOU: [0.99907024 0.77804296]
2024-11-27 14:43:12 - FewShotSeg - INFO - Epoch: 1, Iteration: 5, Training Loss: 0.0186, Mean IoU: 0.9414, Mean Accuracy: 0.9569, per Category IOU: [0.99961022 0.88314607]
2024-11-27 14:43:13 - FewShotSeg - INFO - Epoch: 1, Iteration: 6, Training Loss: 0.0299, Mean IoU: 0.9297, Mean Accuracy: 0.9365, per Category IOU: [0.99951526 0.85982659]
2024-11-27 14:43:13 - FewShotSeg - INFO - Epoch: 1, Iteration: 7, Training Loss: 0.0330, Mean IoU: 0.9163, Mean Accuracy: 0.9282, per Category IOU: [0.99929249 0.83323512]
2024-11-27 14:43:13 - FewShotSeg - INFO - Epoch: 1, Iteration: 8, Training Loss: 0.0250, Mean IoU: 0.9497, Mean Accuracy: 0.9567, per Category IOU: [0.99968522 0.89968153]
2024-11-27 14:43:13 - FewShotSeg - INFO - Epoch: 1, Iteration: 9, Training Loss: 0.0283, Mean IoU: 0.9107, Mean Accuracy: 0.9280, per Category IOU: [0.99940796 0.82207207]
2024-11-27 14:43:14 - FewShotSeg - INFO - Epoch: 1, Iteration: 10, Training Loss: 0.0161, Mean IoU: 0.9286, Mean Accuracy: 0.9518, per Category IOU: [0.99955287 0.85771065]
2024-11-27 14:43:14 - FewShotSeg - INFO - Epoch: 1, Iteration: 11, Training Loss: 0.0161, Mean IoU: 0.9297, Mean Accuracy: 0.9707, per Category IOU: [0.99959292 0.85972461]
2024-11-27 14:43:14 - FewShotSeg - INFO - Epoch: 1, Iteration: 12, Training Loss: 0.0211, Mean IoU: 0.8765, Mean Accuracy: 0.8947, per Category IOU: [0.99929596 0.75371179]
2024-11-27 14:43:14 - FewShotSeg - INFO - Epoch: 1, Iteration: 13, Training Loss: 0.0151, Mean IoU: 0.9374, Mean Accuracy: 0.9660, per Category IOU: [0.99948495 0.87522714]
2024-11-27 14:43:15 - FewShotSeg - INFO - Epoch: 1, Iteration: 14, Training Loss: 0.0126, Mean IoU: 0.9480, Mean Accuracy: 0.9705, per Category IOU: [0.99945937 0.89660124]
2024-11-27 14:43:15 - FewShotSeg - INFO - Epoch: 1, Iteration: 15, Training Loss: 0.0142, Mean IoU: 0.9420, Mean Accuracy: 0.9558, per Category IOU: [0.99966282 0.88441781]
2024-11-27 14:43:15 - FewShotSeg - INFO - Epoch: 1, Iteration: 16, Training Loss: 0.0104, Mean IoU: 0.9371, Mean Accuracy: 0.9681, per Category IOU: [0.99961532 0.87459283]
2024-11-27 14:43:16 - FewShotSeg - INFO - Epoch: 1, Iteration: 17, Training Loss: 0.0124, Mean IoU: 0.9605, Mean Accuracy: 0.9790, per Category IOU: [0.99955424 0.92151675]
2024-11-27 14:43:16 - FewShotSeg - INFO - Epoch: 1, Iteration: 18, Training Loss: 0.0140, Mean IoU: 0.9517, Mean Accuracy: 0.9790, per Category IOU: [0.99962751 0.90368455]
