2024-11-27 14:12:16 - FewShotSeg - INFO - Epoch: 0
2024-11-27 14:12:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 0, Training Loss: 0.6728, Mean IoU: 0.0416, Mean Accuracy: 0.0832
2024-11-27 14:12:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 1, Training Loss: 0.5770, Mean IoU: 0.0180, Mean Accuracy: 0.0361
2024-11-27 14:12:17 - FewShotSeg - INFO - Epoch: 0, Iteration: 2, Training Loss: 0.4524, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 3, Training Loss: 0.4143, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 4, Training Loss: 0.3219, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:18 - FewShotSeg - INFO - Epoch: 0, Iteration: 5, Training Loss: 0.2704, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 6, Training Loss: 0.2256, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 7, Training Loss: 0.2196, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 8, Training Loss: 0.1926, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:19 - FewShotSeg - INFO - Epoch: 0, Iteration: 9, Training Loss: 0.2419, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 10, Training Loss: 0.2095, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 11, Training Loss: 0.1864, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 12, Training Loss: 0.1604, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:20 - FewShotSeg - INFO - Epoch: 0, Iteration: 13, Training Loss: 0.2032, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 14, Training Loss: 0.1277, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 15, Training Loss: 0.1489, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:21 - FewShotSeg - INFO - Epoch: 0, Iteration: 16, Training Loss: 0.1003, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 17, Training Loss: 0.0926, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 18, Training Loss: 0.1186, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 19, Training Loss: 0.1086, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:22 - FewShotSeg - INFO - Epoch: 0, Iteration: 20, Training Loss: 0.1137, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 21, Training Loss: 0.1456, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 22, Training Loss: 0.0758, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 23, Training Loss: 0.1302, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:23 - FewShotSeg - INFO - Epoch: 0, Iteration: 24, Training Loss: 0.0877, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 25, Training Loss: 0.1023, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 26, Training Loss: 0.0684, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 27, Training Loss: 0.1588, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:24 - FewShotSeg - INFO - Epoch: 0, Iteration: 28, Training Loss: 0.1114, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 14:12:25 - FewShotSeg - INFO - Epoch: 0, Iteration: 29, Training Loss: 0.0764, Mean IoU: 0.1069, Mean Accuracy: 0.2138
2024-11-27 14:12:25 - FewShotSeg - INFO - Epoch: 0, Iteration: 30, Training Loss: 0.0790, Mean IoU: 0.1027, Mean Accuracy: 0.2054
